Year,Country,Location Name,Mag,Longitude,Latitude
1995,JAPAN,KOBE,6.9,135.1955,34.6901
1995,JAPAN,NIIGATA PREFECTURE,5.4,139.0364,37.9162
1995,JAPAN,RYUKU ISLANDS,7.1,128,26
1995,JAPAN,RYUKU ISLANDS,6.8,128,26
1996,JAPAN,HONSHU ISLAND,5.7,141.3469,43.0642
1996,JAPAN,KYUSHU ISLAND,6.6,130.5571,31.5966
1996,JAPAN,KYUSHU ISLAND,6.7,130.5571,31.5966
1996,JAPAN,KYUSHU,6.7,130.4181,32.6475
1997,JAPAN,KYUSHU,6.1,130.4181,32.6475
1997,JAPAN,HONSHU,6.2,138.2529,36.2048
1998,JAPAN,SANRIKU,6.2,141.4981,39.3333
2000,JAPAN,VOLCANO ISLANDS,7.6,141.29,24.75
2000,JAPAN,KOZU-SHIMA,6.1,139.1496,34.2167
2000,JAPAN,NII-JIMA,6.1,139.2683,34.3711
2000,JAPAN,HONSHU,6.5,138.2529,36.2048
2000,JAPAN,OKAYAMA,6.7,133.9344,34.6617
2001,JAPAN,HIROSHIMA,6.8,132.4553,34.3853
2002,JAPAN,RYUKYU ISLANDS,6.4,128,26
2003,JAPAN,IWATE,7,141.1526,39.7036
2003,JAPAN,IWATE,5.5,141.1526,39.7036
2003,JAPAN,HONSHU,5.7,138.2529,36.2048
2003,JAPAN,HOKKAIDO,8.3,141.3469,43.0642
2003,JAPAN,ATSUGI,5.2,139.3594,35.4392
2003,JAPAN,HONSHU,7,138.2529,36.2048
2004,JAPAN,KYOTO,7.2,135.7681,35.0116
2004,JAPAN,KYOTO,7.4,135.7681,35.0116
2004,JAPAN,NIIGATA PREFECTURE,6.6,139.0364,37.9162
2004,JAPAN,NIIGATA PREFECTURE,5.9,139.0364,37.9162
2004,JAPAN,NIIGATA PREFECTURE,5.5,139.0364,37.9162
2004,JAPAN,HOKKAIDO,7,141.3469,43.0642
2004,JAPAN,HOKKAIDO,6.8,141.3469,43.0642
2004,JAPAN,HOKKAIDO,5.8,141.3469,43.0642
2005,JAPAN,HONSHU,6.6,138.2529,36.2048
2005,JAPAN,FUKUOKA,6.6,130.4181,33.6064
2005,JAPAN,HONSHU,5.9,138.2529,36.2048
2005,JAPAN,HONSHU,7.2,138.2529,36.2048
2005,JAPAN,HONSHU,7,138.2529,36.2048
2006,JAPAN,HONSHU,5.6,138.2529,36.2048
2006,JAPAN,KYUSHU,6.3,130.4181,32.6475
2006,JAPAN,IZU ISLANDS,6.4,139.7466,34.5963
2007,JAPAN,HONSHU,6.7,138.2529,36.2048
2007,JAPAN,HONSHU,4.6,138.2529,36.2048
2007,JAPAN,HONSHU,6.6,138.2529,36.2048
2007,JAPAN,VOLCANO ISLANDS,7.5,141.29,24.75
2008,JAPAN,HONSHU,6.8,138.2529,36.2048
2008,JAPAN,HONSHU,6.9,138.2529,36.2048
2008,JAPAN,HONSHU ISLAND,6.9,138.2529,36.2048
2008,JAPAN,HONSHU,6.8,138.2529,36.2048
2008,JAPAN,HOKKAIDO,6.8,141.3469,43.0642
2009,JAPAN,HONSHU,6.4,138.2529,36.2048
2009,JAPAN,HONSHU,4.9,138.2529,36.2048
2010,JAPAN,OKINAWA,7,127.8056,26.2124
2010,JAPAN,BONIN ISLANDS,7.4,142.1976,27.0709
2011,JAPAN,HONSHU,7.5,138.2529,36.2048
2011,JAPAN,HONSHU,9.1,138.2529,36.2048
2011,JAPAN,HONSHU,7.9,138.2529,36.2048
2011,JAPAN,HONSHU,7.6,138.2529,36.2048
2011,JAPAN,HONSHU,7.1,138.2529,36.2048
2011,JAPAN,HONSHU,6.6,138.2529,36.2048
2011,JAPAN,HONSHU,7,138.2529,36.2048
2012,JAPAN,HOKKAIDO,6.9,141.3469,43.0642
2012,JAPAN,MIYAGI PREFECTURE,7.2,140.8721,38.2682
2013,JAPAN,MIYAKEJIMA,5.8,139.5297,34.08
2013,JAPAN,MIYAKEJIMA,5.8,139.5297,34.08
2013,JAPAN,HONSHU,7.1,138.2529,36.2048
2014,JAPAN,HONSHU ISLAND,6.3,141.3469,43.0642
2014,JAPAN,SANRIKU,6.5,141.4981,39.3333
2014,JAPAN,NAGANO,6.2,138.1809,36.6514
2015,JAPAN,HONSHU,6.7,138.2529,36.2048
2015,JAPAN,HONSHU,5.7,138.2529,36.2048
2015,JAPAN,CHICHIJIMA ISLAND,7.8,142.1976,27.0709
2015,JAPAN,KYUSYU ISLAND,6.7,130.5571,31.5966
2016,JAPAN,KUMAMOTO,7,130.7079,32.8031
2016,JAPAN,HONSHU,6,138.2529,36.2048
2016,JAPAN,KURAYOSHI,6.2,133.7667,35.4333
2016,JAPAN,HONSHU,6.9,138.2529,36.2048
2018,JAPAN,SHIMANE PREFECTURE,5.7,132.551,35.4753
2018,JAPAN,HONSHU,5.4,138.2529,36.2048
2018,JAPAN,OSAKA,5.5,135.5023,34.6937
2018,JAPAN,HOKKAIDO,6.6,141.3469,43.0642
2019,JAPAN,NIIGATA PREFECTURE,6.4,139.0364,37.9162
2021,JAPAN,FUKUSHIMA,7.1,140.4747,37.7608
2021,JAPAN,HONSHU ISLAND,7,141.3469,43.0642
2022,JAPAN,FUKUSHIMA,7.3,140.4747,37.7608
2023,JAPAN,HONSHU,6.2,138.2529,36.2048
2023,JAPAN,IZU ISLANDS,6.1,139.7466,34.5963
2023,JAPAN,IZU ISLANDS,4.9,139.7466,34.5963
2024,JAPAN,ISHIKAWA PREFECTURE,7.5,136.6566,37.7595
